col_targes,Dataset 1,Dataset 2,Dataset 3,Dataset 4,Dataset 5,Dataset 6
Dataset 1 intra,0,1.510 ± 0.930,0.750 ± 0.261,0.918 ± 0.346,0.693 ± 0.236,0.772 ± 0.193
Dataset 1 cross,0,2.978 ± 1.362,1.617 ± 0.757,2.319 ± 0.840,1.524 ± 0.528,1.351 ± 0.412
Dataset 2 intra,1.155 ± 0.376,0,1.042 ± 0.491,1.119 ± 0.535,1.110 ± 0.468,1.035 ± 0.394
Dataset 2 cross,1.148 ± 0.380,0,1.127 ± 0.559,1.290 ± 0.629,1.133 ± 0.490,1.068 ± 0.423
Dataset 3 intra,0.579 ± 0.160,0.537 ± 0.135,0,0.611 ± 0.215,0.593 ± 0.154,0.482 ± 0.154
Dataset 3 cross,1.621 ± 0.836,2.006 ± 1.134,0,1.311 ± 0.515,1.504 ± 0.784,1.445 ± 0.662
Dataset 4 intra,0.703 ± 0.350,0.678 ± 0.343,0.627 ± 0.327,0,0.645 ± 0.347,0.654 ± 0.368
Dataset 4 cross,1.368 ± 0.498,1.720 ± 0.739,1.378 ± 0.589,0,1.503 ± 0.608,1.229 ± 0.560
Dataset 5 intra,0.888 ± 0.371,1.667 ± 0.688,1.097 ± 0.411,0.945 ± 0.400,0,1.242 ± 0.579
Dataset 5 cross,1.110 ± 0.383,1.945 ± 0.781,1.192 ± 0.426,1.160 ± 0.442,0,1.415 ± 0.594
Dataset 6 intra,1.952 ± 1.114,2.057 ± 1.082,1.985 ± 1.029,2.146 ± 1.206,2.164 ± 1.082,0
Dataset 6 cross,2.138 ± 0.928,2.786 ± 1.341,2.337 ± 1.173,2.363 ± 1.311,2.614 ± 1.163,0
