dataset-method,intra_RMSE,intra_MAPE,cross_RMSE,cross_MAPE
Dataset 1 Benchmark_TL,0.923±0.291,0.847±0.290,1.438±0.437,1.271±0.425
Dataset 1 WSL,0.730±0.234,0.679±0.226,0.985±0.396,0.904±0.404
Dataset 2 Benchmark_TL,1.121±0.374,1.089±0.432,1.096±0.383,1.045±0.407
Dataset 2 WSL,1.224±0.460,1.208±0.508,1.207±0.537,1.183±0.560
Dataset 3 Benchmark_TL,0.623±0.219,0.530±0.199,1.687±0.724,1.724±0.790
Dataset 3 WSL,0.554±0.236,0.500±0.192,1.315±0.517,1.302±0.552
Dataset 4 Benchmark_TL,0.588±0.277,0.603±0.327,1.066±0.415,1.072±0.506
Dataset 4 WSL,0.670±0.331,0.693±0.407,1.306±0.537,1.397±0.646
Dataset 5 Benchmark_TL,2.614±1.577,2.444±1.281,2.451±1.390,2.350±1.057
Dataset 5 WSL,0.907±0.365,0.944±0.420,1.044±0.362,1.072±0.401
